================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-degraded
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

19:24:42 INFO     [37/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%
19:24:54 INFO       -> zero_window=0, throughput=85KB/s, rtt_mean=34.5ms
19:24:55 INFO     [38/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%, cc=bbr
19:25:08 INFO       -> zero_window=0, throughput=332KB/s, rtt_mean=46.0ms
19:25:08 INFO     [39/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%
19:25:21 INFO       -> zero_window=0, throughput=99KB/s, rtt_mean=37.5ms
19:25:21 INFO     [40/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%, cc=bbr
19:25:34 INFO       -> zero_window=0, throughput=332KB/s, rtt_mean=46.3ms
19:25:35 INFO     [41/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%
19:25:47 INFO       -> zero_window=0, throughput=219KB/s, rtt_mean=52.0ms
19:25:48 INFO     [42/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%, cc=bbr
19:26:01 INFO       -> zero_window=0, throughput=938KB/s, rtt_mean=96.9ms
19:26:02 INFO     [43/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%
19:26:15 INFO       -> zero_window=0, throughput=122KB/s, rtt_mean=51.5ms
19:26:15 INFO     [44/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%, cc=bbr
19:26:28 INFO       -> zero_window=0, throughput=716KB/s, rtt_mean=182.5ms
19:26:29 INFO     [45/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%
19:26:42 INFO       -> zero_window=0, throughput=130KB/s, rtt_mean=54.0ms
19:26:42 INFO     [46/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:26:55 INFO       -> zero_window=0, throughput=416KB/s, rtt_mean=65.5ms
19:26:56 INFO     [47/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=2.0%
19:27:08 INFO       -> zero_window=0, throughput=126KB/s, rtt_mean=58.7ms
19:27:09 INFO     [48/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=2.0%, cc=bbr
19:27:22 INFO       -> zero_window=0, throughput=284KB/s, rtt_mean=71.1ms
19:27:22 INFO     [49/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=1.0%
19:27:35 INFO       -> zero_window=0, throughput=266KB/s, rtt_mean=35.8ms
19:27:36 INFO     [50/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=1.0%, cc=bbr
19:27:49 INFO       -> zero_window=0, throughput=570KB/s, rtt_mean=41.8ms
19:27:49 INFO     [51/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=2.0%
19:28:02 INFO       -> zero_window=0, throughput=161KB/s, rtt_mean=36.0ms
19:28:03 INFO     [52/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=2.0%, cc=bbr
19:28:16 INFO       -> zero_window=0, throughput=665KB/s, rtt_mean=77.1ms
19:28:16 INFO     [53/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=1.0%
19:28:29 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=37.5ms
19:28:29 INFO     [54/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=1.0%, cc=bbr
19:28:42 INFO       -> zero_window=0, throughput=333KB/s, rtt_mean=48.4ms
19:28:43 INFO     [55/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=2.0%
19:28:55 INFO       -> zero_window=0, throughput=88KB/s, rtt_mean=36.7ms
19:28:56 INFO     [56/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=2.0%, cc=bbr
19:29:09 INFO       -> zero_window=0, throughput=311KB/s, rtt_mean=49.7ms
19:29:09 INFO     [57/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=1.0%
19:29:22 INFO       -> zero_window=0, throughput=258KB/s, rtt_mean=49.4ms
19:29:23 INFO     [58/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=1.0%, cc=bbr
19:29:37 INFO       -> zero_window=0, throughput=1112KB/s, rtt_mean=69.1ms
19:29:37 INFO     [59/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=2.0%
19:29:50 INFO       -> zero_window=0, throughput=140KB/s, rtt_mean=54.6ms
