================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-handover
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

18:39:01 INFO       -> zero_window=0, throughput=112KB/s, rtt_mean=32.2ms
18:39:01 INFO     [66/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:39:14 INFO       -> zero_window=0, throughput=433KB/s, rtt_mean=38.2ms
18:39:15 INFO     [67/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%
18:39:27 INFO       -> zero_window=0, throughput=94KB/s, rtt_mean=30.5ms
18:39:28 INFO     [68/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:39:41 INFO       -> zero_window=0, throughput=426KB/s, rtt_mean=36.0ms
18:39:41 INFO     [69/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%
18:39:54 INFO       -> zero_window=0, throughput=89KB/s, rtt_mean=30.7ms
18:39:54 INFO     [70/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:40:07 INFO       -> zero_window=0, throughput=341KB/s, rtt_mean=40.1ms
18:40:08 INFO     [71/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%
18:40:20 INFO       -> zero_window=0, throughput=82KB/s, rtt_mean=32.8ms
18:40:21 INFO     [72/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:40:34 INFO       -> zero_window=0, throughput=352KB/s, rtt_mean=42.1ms
18:40:35 INFO     [73/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%
18:40:47 INFO       -> zero_window=0, throughput=288KB/s, rtt_mean=50.7ms
18:40:48 INFO     [74/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:41:01 INFO       -> zero_window=0, throughput=600KB/s, rtt_mean=69.0ms
18:41:02 INFO     [75/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%
18:41:14 INFO       -> zero_window=0, throughput=333KB/s, rtt_mean=49.5ms
18:41:15 INFO     [76/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:41:28 INFO       -> zero_window=0, throughput=419KB/s, rtt_mean=60.8ms
18:41:28 INFO     [77/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%
18:41:41 INFO       -> zero_window=0, throughput=75KB/s, rtt_mean=48.2ms
18:41:42 INFO     [78/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:41:54 INFO       -> zero_window=0, throughput=259KB/s, rtt_mean=55.7ms
18:41:55 INFO     [79/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%
18:42:08 INFO       -> zero_window=0, throughput=64KB/s, rtt_mean=48.3ms
18:42:08 INFO     [80/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:42:21 INFO       -> zero_window=0, throughput=281KB/s, rtt_mean=60.1ms
18:42:22 INFO     [81/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%
18:42:34 INFO       -> zero_window=0, throughput=131KB/s, rtt_mean=30.4ms
18:42:35 INFO     [82/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:42:48 INFO       -> zero_window=0, throughput=445KB/s, rtt_mean=35.9ms
18:42:48 INFO     [83/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%
18:43:01 INFO       -> zero_window=0, throughput=115KB/s, rtt_mean=28.5ms
18:43:01 INFO     [84/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:43:14 INFO       -> zero_window=0, throughput=444KB/s, rtt_mean=36.7ms
18:43:15 INFO     [85/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%
18:43:28 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=29.8ms
18:43:28 INFO     [86/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:43:41 INFO       -> zero_window=0, throughput=338KB/s, rtt_mean=42.4ms
18:43:42 INFO     [87/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%
18:43:54 INFO       -> zero_window=0, throughput=88KB/s, rtt_mean=29.5ms
18:43:55 INFO     [88/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:44:08 INFO       -> zero_window=0, throughput=364KB/s, rtt_mean=40.9ms
18:44:08 INFO     [89/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%
18:44:21 INFO       -> zero_window=0, throughput=229KB/s, rtt_mean=46.6ms
18:44:22 INFO     [90/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:44:35 INFO       -> zero_window=0, throughput=625KB/s, rtt_mean=65.9ms
18:44:35 INFO     [91/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%
18:44:48 INFO       -> zero_window=0, throughput=243KB/s, rtt_mean=48.7ms
18:44:49 INFO     [92/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:45:02 INFO       -> zero_window=0, throughput=503KB/s, rtt_mean=84.4ms
18:45:02 INFO     [93/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%
18:45:15 INFO       -> zero_window=0, throughput=70KB/s, rtt_mean=52.2ms
18:45:15 INFO     [94/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:45:28 INFO       -> zero_window=0, throughput=246KB/s, rtt_mean=61.6ms
