================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

10:50:11 INFO     [42/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
10:50:38 INFO       -> zero_window=0, throughput=6355KB/s, rtt_mean=18.3ms
10:50:39 INFO     [43/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.2%
10:50:58 INFO       -> zero_window=0, throughput=1250KB/s, rtt_mean=16.6ms
10:50:59 INFO     [44/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
10:51:24 INFO       -> zero_window=0, throughput=5320KB/s, rtt_mean=19.0ms
10:51:25 INFO     [45/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.1%
10:51:43 INFO       -> zero_window=0, throughput=303KB/s, rtt_mean=16.7ms
10:51:43 INFO     [46/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
10:52:03 INFO       -> zero_window=0, throughput=789KB/s, rtt_mean=19.3ms
10:52:03 INFO     [47/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.2%
10:52:21 INFO       -> zero_window=0, throughput=256KB/s, rtt_mean=17.2ms
10:52:21 INFO     [48/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
10:52:41 INFO       -> zero_window=0, throughput=882KB/s, rtt_mean=19.4ms
10:52:41 INFO     [49/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%
10:53:03 INFO       -> zero_window=0, throughput=2431KB/s, rtt_mean=13.9ms
10:53:03 INFO     [50/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
10:53:29 INFO       -> zero_window=0, throughput=5342KB/s, rtt_mean=16.1ms
10:53:30 INFO     [51/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%
10:53:50 INFO       -> zero_window=0, throughput=1797KB/s, rtt_mean=13.7ms
10:53:51 INFO     [52/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
10:54:15 INFO       -> zero_window=0, throughput=4196KB/s, rtt_mean=16.7ms
10:54:16 INFO     [53/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%
10:54:34 INFO       -> zero_window=0, throughput=274KB/s, rtt_mean=13.6ms
